Title,Time (years),Yearly Wage (gp),Daily Wage (cp),Resources (gp),Skills,Leads
Meatmonger,6,40,100,20,"Animal Handling, Appraisal, Bargaining, Bartering, Butchery, Cooking, Falsehood, Knives, Ugly Truth","Butcher, Farmer, Grocer, Merchant, Meat Curer"
Mechanical Engineer,7,135,360,90,"Building, Carpentry, Distillation, Engineering, Geometry, Hammer, Invention, Leatherworking, Mathematics, Mending, Metallurgy, Physics, Read, Write","Inventor, Guild Master, Master Builder, Master Craftsman, Scientist"
Mercenary,5,78,210,35,"Armoury, Bargaining, Campaigning, Crossbow, Extortion, Field Dressing, Firearms, Firebuilding, Fortifications, Gambling, Grappling, Knives, Mace, Polearm, Siege, Tactics, Wrestling","Insurrectionist, Man-at-Arms, Marine, Ranger, Sergeant, Squire, Veteran"
Merchant,7,145,390,100,"Accounting, Appraisal, Bargaining, Bartering, Bribery, Diplomacy, Falsehood, Geography, Logistics, Navigation, Persuasion, Prospecting, Read, Smuggling, Write","Ale Taster, Appraiser, Accountant, Coin Minter, Dock Master, Grocer, Hosteler, Merchant Adventurer, Jeweler, Tradesman, Spice Merchant, Textile Merchant"
Merchant Adventurer,7,250,680,175,"Accounting, Appraisal, Bargaining, Bribery, Firearms, Geography, Logistics, Navigation, Orienteering, Prospecting, Sailing, Smuggling, Survival, Sword","Banker, Bureaucrat, Cartographer, Master Merchant, Privateer, Smuggler, Ship Captain, Commodore"
Midshipman,5,50,130,25,"Administration, Armoury, Astronomy, Campaigning, Command, Knots, Management, Munitions, Navigation, Rigging, Sailing, Seamanship, Sword","Dock Worker, Lieutenant, Navigator, Pilot, Ship Master, Signalman, Smuggler"
Midwife,7,130,350,90,"Anatomy, Astrology, Aura Reading, Bloodletting, Child-Rearing, Field Dressing, Herbalism, Instruction, Midwifery, Nursing, Ugly Truth","Apothecary, Covenentor, Governess, Mystic, Physician, Bachelor of Medicine, Oracle"
Miller,7,45,120,30,"Animal Handling, Bargaining, Bartering, Building, Engineering, Farming, Hauling, Herbalism, Invention, Leatherworking, Milling","Baker, Brewer, Farmer, Merchant, Yeoman"
Miner,3,50,130,15,"Appraisal, Axe, Carpentry, Digging, Firebuilding, Hauling, Metallurgy, Mining, Prospecting, Scavenging, Munitions, Climbing, Drinking, Knots, Rigging, Geology","Apprentice, Digger, Sapper, Labourer, Dikeman, Forger, Woodsman"
Missionary,6,40,100,20,"Preaching, Theology, Foreign Languages, Persuasion, Faith, Ritual, Diplomacy, Etiquette, Meditation, Aura Reading, Ancient Languages, Research, Geography, Archaeology, History, Doctrine, Philosophy, Astrology, Diplomacy, Riding, Survival","Priest, Chaplain, Theologian, Archeologist, Inquisitor, Scholar, Spirit Binder, Senior Magus, Apostate, Diplomat, Zealot, Crusader"
Monk,6,40,100,20,"Begging, Brewing, Calligraphy, Conspicuous, Faith, Folklore, Grappling, Hauling, Illustration, Marching, Meditation, Poetry, Read, Ritual, Sing, Write, Wrestling","Apostate, Custodian, Evangelist, Mystic, Priest, Prior, Scribe"
Musician,3,50,130,15,"Dance, Etiquette, Falsehood, Folklore, Heraldry, History, Musical Composition, Musical Instrument, Poetry, Read, Sing, Ugly Truth, Write","Actor, Artist, Bard, Musician, Master Artisan, Troubadour"
Mystic,9,40,100,35,"Aura Reading, Dance, Drinking, Faith, Folklore, Herbalism, Jargon, Meditation, Preaching, Ritual, Sing","Augur, Druid, Covenanter, Fertillity Priestess, Monk, Nun, Pilgrim, Shaman"
Navigator,6,65,170,35,"Astronomy, Campaigning, Cartography, Geography, Geometry, Mathematics, Meteorology, Navigation, Observation, Sailing, Ugly Truth","Cartographer, Midshipman, Pilot, Ship Master, Signalman, Senior Student"
Necromancer,11,120,320,130,"Anatomy, Bloodletting, Butchery, Demonology, Field Dressing, Heretical Doctrine, Occultism, Sewing, Summoning, Tanning","Elementalist, Hedge Wizard, Rogue Wizard, Prophet, Assassin"
Neophyte Magus,6,20,50,10,"Alchemy, Astrology, Aura Reading, Calligraphy, Enchanting, Etiquette, Herbalism, History, Meteorology, Read, Sorcery, Staff, Symbology, Write","Covenanter, Junior Magus, Wizard's Apprentice"
Nomad,6,40,100,20,"Animal Handling, Astronomy, Camouflage, Diplomacy, Falconry, Field Dressing, Geography, Hunting, Knots, Navigation, Riding, Stealth, Survival, Bow","Nomadic Tradesman, Chieftain, Explorer, Ranger, Shepherd, Cowherd, Tradesman, Sailor, Hunter, Shearer, Swineherd, Horse Archer"
Nomadic Tradesman,6,150,410,90,"Ancient Languages, Bargaining, Bartering, Cartography, Diplomacy, Gambling, Herding, Navigation, Observation, Riding, Survival, Tactics, Trading","Spice Merchant, Textile Merchant, Caravan Master, Merchant Adventurer, Diplomat, Courtier, Vizier, Cult Leader"
Notary,4,40,100,15,"Accounting, Appraisal, Bribery, Bureaucracy, Church Law, History, Law, Logistics, Persuasion, Politics, Read, Ritual, Write","Archpriest, Chronicler, Clerk, Inquisitor"
Nun,7,40,100,25,"Child-Rearing, Church Law, Cooking, Doctrine, Etiquette, Faith, Field Dressing, Instruction, Preaching, Read, Ritual, Sing, Theology, Write","Covenanter, Custodian, Evangalist, Governess, Heretic, Nurse, Physician, Prior, Caretaker, Barmaid"
Nurse,6,60,160,35,"Apothecary, Bloodletting, Field Dressing, Herbalism, Housekeeping, Instruction, Midwifery, Nursing, Sewing, Ugly Truth","Barber, Governess, Midwife, Nun, Physician, Bachelor of Medicine"
Oracle,7,80,210,55,"Divination, Ancient Languages, Astrology, Aura Reading, Bargaining, Diplomacy, Doctrine, History, Invention, Law, Meditation, Philosophy, Poetry, Reading, Research, Rhetoric, Symbology, Theology","Priest, Diviner, Cult Leader, Hierophant, Mystic, Philosopher, Prophet, Concubine"
Outcast,1,0,0,0,"Animal Handling, Bartering, Begging, Climbing, Cudgel, Disguise, Falsehood, Field Dressing, Foraging, Gambling, Grappling, Inconspicuous, Knives, Navigation, Observation, Pickpocket, Scavenging, Sewing, Sing, Stealth, Survival, Ugly Truth, Wrestling","Bandit, Bastard, Beggar, Blackmailer, Bounty Hunter, Criminal, Cripple, Cultist, Fugitive, Grave Robber, Highwayman, Insurrectionist, Leper, Miner, Pagan, Pickpocket, Pirate, Prisoner, Prostitute, Rat Catcher, Servant, Slave, Supplicant, Thug, Wizard's Apprentice, Zealot, Eunuch"
Pagan,5,20,50,10,"Animal Handling, Aura Reading, Astrology, Cooking, Dance, Folklore, Herbalism, Meditation, Occultism, Ritual, Runic Charms, Seduction, Sing","Convert, Covenanter, Cultist, Heretic, Mystic, Apiarist, Shepherd, Swineherd"
Page,6,50,130,30,"Bow, Boxing, Cooking, Etiquette, Falconry, Firebuilding, Foraging, Heraldry, Hunting, Knives, Politics, Read, Riding, Shield, Sword, Write","Apprentice, Deacon, Ensign, Junior Student, Squire, Ward, Fowler"
Peddler,5,25,60,10,"Appraisal, Bargaining, Bartering, Bribery, Counterfeiting, Falsehood, Inconspicuous, Scavenging, Smuggling","Fence, Highwayman, Jester, Smuggler"
Philosopher,9,60,160,50,"Astrology, Astronomy, Heretical Doctrine, History, Instruction, Law, Lecturing, Logic, Observation, Oratory, Philosophy, Preaching, Read, Rhetoric, Theology, Write","Professor, Guild Master, Insurrectionist, Prophet, Sage, Astronomer, Geometer, Scientist"
Physician,5,194,530,95,"Anatomy, Apothecary, Bloodletting, Field Dressing, Knives, Midwifery, Read, Sewing, Surgery, Write","Apothecary, Barber, Bloodletter, Bureaucrat, Surgeon"
Pickpocket,4,30,80,10,"Appraisal, Climbing, Gambling, Grappling, Inconspicuous, Knives, Observation, Pickpocket, Scavenging, Wrestling","Bandit, Blackmailer, Fence, Peddler, Thief, Thug"
Pikeman,4,50,130,20,"Armoury, Brawling, Campaigning, Field Dressing, Formation Fighting, Intimidation, Knives, Marching, Polearm, Siege, Spear","Mercenary, Sergeant, Swordsman, Veteran"
Pilgrim,2,15,40,0,"Begging, Faith, Firebuilding, Folklore, Foraging, Hauling, Marching, Meditation, Orienteering, Preaching, Sing","Cartographer, Convert, Crusader, Monk, Nun, Pagan"
Pilot,6,80,210,45,"Astronomy, Campaigning, Cartography, Geography, Meteorology, Navigation, Observation, Piloting, Sailing, Seamanship, Signaling, Sing, Ugly Truth","Cartographer, Midshipman, Navigator, Ship Master, Signalman"
Pirate,4,80,210,30,"Appraisal, Drinking, Firearms, Gambling, Heraldry, Intimidation, Knives, Knots, Munitions, Sailing, Scavenging, Sing, Smuggling, Swimming","Fence, Marine, Prisoner, Privateer, Smuggler"
Planter,6,35,90,20,"Digging, Estate Management, Farming, Folklore, Foraging, Hauling, Sing, Surveying, Ugly Truth","Farmer, Forester, Florist, Groundskeeper, Dikeman"
Ploughman,5,25,60,10,"Animal Handling, Digging, Driving, Farming, Folklore, Foraging, Hauling, Irrigation, Sing, Surveying","Cottager, Digger, Florist, Grain Monger, Planter, Gardener, Henchman, Dikeman"
Plumber,7,60,160,40,"Architecture, Bargaining, Building, Digging, Engineering, Irrigation, Metallurgy, Surveying, Ugly Truth","Architect, Mason, Master Builder, surveyor"
Poacher,4,35,90,10,"Bow, Bribery, Butchery, Camouflage, Falsehood, Foraging, Knives, Smuggling, Spear, Tracking, Trapping","Fence, Highwayman, Prisoner, Rat Catcher, Smuggler, Trapper, Meat Curer"
Pope,9,250,680,225,"Church Law, Doctrine, Faith, Geography, Heretical Doctrine, Intimidation, Law, Leadership, Meditation, Oratory, Politics, Preaching, Read, Ritual, Write","Emperor, Crusader, Prophet, Revolutionary, Sage"
Priest,5,40,100,20,"Church Law, Faith, History, Leadership, Management, Oratory, Preaching, Read, Ritual, Theology, Write","Apostate, Archpriest, Chaplain, Crusader, Exorcist, Monk, Nun, Scholar, Theologian, Cardinal"
Prince,6,150,410,90,"Bow, Boxing, Command, Dance, Diplomacy, Etiquette, Grappling, Heraldry, History, Knives, Lance, Law, Leadership, Politics, Read, Riding, Strategy, Sword, Write, Wrestling","Crusader, Fleet Admiral, Junior Student, King, Knight, Marshal, Revolutionary"
Princess,6,150,410,90,"Astrology, Calligraphy, Conspicuous, Dance, Diplomacy, Embroidery, Etiquette, Musical Instrument, Poetry, Politics, Read, Riding, Seduction, Sing, Write","Abbot, Dame, Junior Student, Knight, Lady, Queen, Revolutionary, Spellsword, Spy, Troubadour, Assassin"
Prior,7,70,190,45,"Administration, Church Law, Doctrine, Estate Management, Faith, Management, Meditation, Read, Ritual, Theology, Write","Abbot, Apostate, Archpriest, Chaplain, Exorcist, Scholar"
Prison Warden,4,90,240,35,"Administration, Bureaucracy, Command, Conspicuous, Extortion, Falsehood, Interrogation, Intimidation, Law, Management, Read, Smuggling, Torture, Write","Bureaucrat, Captain, Commander, Knight, Quartermaster"
Prisoner,6,10,20,5,"Begging, Brawling, Building, Digging, Falsehood, Folklore, Gambling, Hauling, Scavenging, Serving, Sing, Smuggling","Colonist, Conscript, Convert, Fugitive, Jester, Labourer, Servant, Slave, Indentured Soldier"
Privateer,4,80,210,30,"Appraisal, Campaigning, Firearms, Gambling, Heraldry, Intimidation, Knives, Knots, Munitions, Sailing, Scavenging, Smuggling, Strategy, Swimming, Tactics","Artillerist, Cartographer, Merchant Adventurer, Sergeant, Ship Captain, Smuggler, Quartermaster"
Professor,12,150,410,180,"Administration, Foreign Languages, Geography, History, Instruction, Logic, Mathematics, Oratory, Philosophy, Physics, Read, Research, Write","Alchemist, Guild Master, Inventor, Legislator, Master Artisan, Researcher, Scientist"
Prophet,7,200,540,140,"Astrology, Aura Reading, Church Law, Demonology, Faith, Heretical Doctrine, Meditation, Oratory, Persuasion, Philosophy, Preaching, Ritual, Theology, Ugly Truth","Crusader, Hierophant, Thaumaturge, Speaker of Names, Oracle"
Prostitute,6,30,80,15,"Anatomy, Bargaining, Child-Rearing, Conspicuous, Dance, Disguise, Drinking, Extortion, Falsehood, Knots, Pickpocket, Riding, Seduction, Sing, Ugly Truth","Bandit, Barmaid, Blackmailer, Courtier, Jester, Peddler, Pirate, Thief, Whoremonger"
Quartermaster,7,80,210,55,"Accounting, Armoury, Bargaining, Campaigning, Firearms, Logistics, Management, Munitions, Siege, Read, Smuggling, Strategy, Sword, Write","Midshipman, Navigator, Pilot, Ship Master, Signalman, Smuggler"
Queen,11,1000,2730,1100,"Administration, Conspicuous, Dance, Diplomacy, Estate Management, Etiquette, Foreign Languages, Observation, Persuasion, Politics, Read, Seduction, Strategy, Write","Burgomaster, Fertillity Priestess, Revolutionary, Spy Master"
Rancher,6,30,80,15,"Animal Handling, Bargaining, Bartering, Driving, Estate Management, Herding, Knots, Riding, Tracking","Butcher, Farmer, Groom, Merchant, Equestrian, Farrier, Meat Curer"
Ranger,4,60,160,20,"Axe, Bow, Camouflage, Climbing, Disguise, Field Dressing, Firebuilding, Foraging, Fortifications, Interrogation, Knives, Orienteering, Survival, Tracking","Cartographer, Man-at-Arms, Mercenary, Sergeant, Spy, Squire, Veteran, Assassin, Horse Archer"
Rat Catcher,3,15,40,0,"Bow, Climbing, Fishing, Foraging, Poisons, Spear, Tracking, Trapping","Fowler, Fisher, Hunter, Skinner"
Reaper,6,20,50,10,"Cooking, Estate Management, Farming, Folklore, Foraging, Gardening, Hauling, Meteorology, Milling","Cottager, Grain Monger, Florist, Planter"
Researcher,7,55,150,35,"Ancient Languages, Archaeology, Cartography, Cryptography, Demonology, Folklore, Geography, Occultism, Read, Research, Symbology, Write","Master of Artifice, Archeologist, Master Magus, Hedge Wizard, Rogue Wizard, Scholar, Scientist"
Revolutionary,4,60,160,20,"Doctrine, Diplomacy, Fortifications, Field Dressing, Firebuilding, Grappling, Heretical Doctrine, Knives, Law, Leadership, Logistics, Munitions, Philosophy, Rhetoric, Strategy, Sword, Tactics, Wrestling","Burgomaster, Crusader, General, King, Prisoner, Slave, Queen, Assassin"
Rogue Wizard,4,200,540,80,"Alchemy, Apothecary, Bloodletting, Demonology, Falsehood, Heretical Doctrine, Occultism, Read, Research, Sorcery, Staff, Summoning, Symbology, Ugly Truth, Write","Master Magus, Elementalist, Hedge Wizard, Necromancer, Spellsword, Sorcerer"
Ropemaker,6,35,90,20,"Accounting, Bartering, Knots, Mending, Rigging, Sewing, Weaving","Tradesman, Master Craftsman, Sailmaker, Ship Master, Weaver"
Sage,9,80,210,70,"Astrology, Aura Reading, Faith, Folklore, Herbalism, Meditation, Occultism, Philosophy, Preaching, Poetry, Read, Ritual, Sing, Staff, Theology, Write","Court Astrologer, Hierophant, Thaumaturge, Speaker of Names"
Sailmaker,6,40,100,20,"Appraisal, Bargaining, Dyeing, Embroidery, Hauling, Heraldry, Knots, Mending, Rigging, Sailing, Weaving","Boatswain, Dyer, Master Craftsman, Ship Master, Tailor, Weaver"
Sailor,5,60,160,30,"Axe, Brawling, Climbing, Fishing, Gambling, Knives, Knots, Navigation, Observation, Rigging, Sailing, Seamanship, Sing, Swimming","Armorer, Boatswain, Carpenter, Caulker, Ropemaker, Sailmaker, Shipwright"
Sapper,4,50,130,20,"Axe, Building, Carpentry, Climbing, Digging, Engineering, Field Dressing, Firebuilding, Fortifications, Hammer, Hauling, Mining, Munitions, Knives, Siege, Smuggling","Engineer, Mercenary, Ranger, Sergeant, Spy, Veteran, Plumber, Woodsman"
Scholar,10,75,200,75,"Archaeology, Astronomy, Calligraphy, Cartography, Demonology, Folklore, Foreign Languages, Geography, Heretical Doctrine, History, Occultism, Philosophy, Read, Research, Symbology, Theology, Write","Master of Artifice, Archeologist, Master Magus, Hedge Wizard, Rogue Wizard, Exorcist,Theologian, Scientist"
Scientist,8,150,410,120,"Astronomy, Bloodletting, Cartography, Diatribe, Doctrine, Engineering, Geometry, Heraldry, Invention, Logic, Mathematics, Medicine, Meditation, Metallurgy, Meteorology, Occultism, Philosophy, Physics, Preservation, Research, Rhetoric, Symbology, Theology","Inventor, Philosopher, Astronomer, Alchemist, Engineer, Architect, Astrologer, Physician, Geometer, Cartographer, Mechanical Engineer"
Scout,3,55,150,15,"Bow, Camouflage, Campaigning, Falconry, Firebuilding, Foraging, Knives, Marching,  Observation, Orienteering, Riding, Stealth, Survival, Tracking","Archer, Cartographer, Courier, Forester, Ranger, Sapper, Spy, Equestrian, Cavalryman"
Scribe,7,40,100,25,"Ancient Languages, Calligraphy, Church Law, Demonology, Doctrine, Faith, History, Illustration, Poetry, Read, Research, Theology, Write","Courier, Custodian, Deacon, Evangalist, Theologian"
Sculptor,5,45,120,20,"Anatomy, Carpentry, Carving, Geology, Hammer, Illustration, Mason, Metallurgy, Painting","Artist, Mason, Luthier, Master Artisan, Master Craftsman"
Seaman,4,35,90,10,"Brawling, Climbing, Fishing, Gambling, Knives, Knots, Navigation, Observation, Rigging, Sailing, Seamanship, Sing, Swimming","Dock Worker, Fisher, Sailor, Ship Mate"
Senator,8,175,470,140,"Bargaining, Bureaucracy, Campaigning, Command, Composition, Diplomacy, Doctrine, Etiquette, History, Law, Leadership, Persuasion, Politics, Read, Research, Ritual, Sing, Write","Tribune, Censor, Consul, Governor, Ambassador, Chancellor, General, Count, Lord, Guild Master, Judge, Legislator, Attorney"
Senior Magus,4,40,100,15,"Alchemy, Apothecary, Astrology, Aura Reading, Conspicuous, Enchanting, Herbalism, Intimidation, Read, Sorcery, Staff, Summoning, Symbology, Write","Astrologer, Enchanter, Hedge Wizard, Sorcerer, Summoner"
Senior Student,4,30,80,10,"Accounting, Anatomy, Astronomy, Calligraphy, Etiquette, Foreign Languages, Geography, Geometry, History, Lecturing, Logic, Mathematics, Painting, Philosophy, Physics, Read, Rhetoric, Write, Illustration","Clerk, Bachelor of Engineering, Bachelor of Artifice, Bachelor of Law, Bachelor of Medicine, Journeyman, Researcher, Scholar"
Sergeant,5,70,190,35,"Armoury, Boxing, Command, Formation Fighting, Fortifications, Knives, Leadership, Mace, Polearm, Siege, Sword, Tactics","Armorer, Bannerman, Crusader, Lieutenant, Man-at-Arms, Mercenary, Squire, Veteran, Bailiff"
Servant,6,20,50,10,"Animal Handling, Bartering, Child-Rearing, Cooking, Cleaning, Driving, Hauling, Inconspicuous, Mending, Nursing, Preservation, Serving, Sewing","Apprentice, Barmaid, Country Wife, Farmhand, Maid, Midwife, Supplicant, Caretaker"
Shaman,9,40,100,35,"Astrology, Aura Reading, Dance, Folklore, Herbalism, Intimidation, Jargon, Meditation, Occultism, Preaching, Ritual, Spirit Binding, Staff, Symbology","Augur, Diviner, Druid, Spirit Binder, Summoner"
Shearer,6,25,60,15,"Animal Handling, Bartering, Folklore, Foraging, Hauling, Herding, Knives, Weaving","Apprentice, Farmhand, Shepherd, Skinner, Weaver"
Shepherd,4,30,80,10,"Animal Handling, Bartering, Bow, Butchery, Faith, Folklore, Foraging, Hauling, Herding, Knives, Leadership, Orienteering, Weaving","Meatmonger, Cheesemonger, Curer, Rancher, Prophet"
Ship Captain,6,200,540,120,"Administration, Campaigning, Cartography, Command, Drinking, Firearms, Heraldry, Leadership, Management, Munitions, Navigation, Observation, Piloting, Sailing, Seamanship, Signaling, Sword, Tactics","Cartographer, Captain, Commodore, Lord, Merchant Adventurer, Privateer"
Ship Master,5,80,210,40,"Accounting, Bargaining, Command, Leadership, Management, Munitions, Navigation, Observation, Piloting, Sailing, Seamanship, Signaling","Bureaucrat, Cartographer, Commander, Dock Worker, Navigator, Pilot, Smuggler"
Ship Mate,5,50,130,25,"Brawling, Climbing, Fishing, Gambling, Hauling, Knots, Mending, Navigation, Observation, Rigging, Sailing, Seamanship, Sing, Swimming","Cook, Dock Worker, Ensign, Journeyman, Marine, Sailor"
Shipwright,6,70,190,40,"Appraisal, Axe, Bargaining, Building, Carpentry, Carving, Engineering, Geometry, Hammer, Hauling, Logging, Mending, Munitions, Painting, Rigging, Sailing","Carpenter, Dock Master, Master Builder, Midshipman, Ship Master, Bachelor of Engineering, Senior Student"
Signalman,5,55,150,25,"Campaigning, Cartography, Climbing, Cryptography, Heraldry, Meteorology, Navigation, Observation, Sailing, Seamanship, Signaling, Sing","Midshipman, Navigator, Pilot, Ship Master, Spy"
Skinner,4,20,50,5,"Animal Handling, Appraisal, Bartering, Butchery, Knives, Leatherworking, Tanning","Apprentice, Clother, Leatherworker, Shepherd, Weaver, Shearer, Swineherd"
Slave,6,0,0,0,"Begging, Brawling, Building, Cleaning, Digging, Falsehood, Folklore, Foraging, Gambling, Grappling, Hauling, Scavenging, Sing, Serving, Smuggling, Wrestling","Conscript, Convert, Insurrectionist, Jester, Labourer, Prostitute, Servant, Miner, Indentured Soldier, Assassin"
Smuggler,4,90,240,35,"Appraisal, Bartering, Bribery, Camouflage, Counterfeiting, Disguise, Extortion, Falsehood, Gambling, Knives, Sleight of Hand, Smuggling, Stealth","Dock Master, Fence, Merchant, Midshipman, Tradesman"
Sorcerer,6,155,420,90,"Ancient Languages, Demonology, Heretical Doctrine, Intimidation, Philosophy, Politics, Read, Research, Sorcery, Staff, Strategy","Court Wizard, Hedge Wizard, Rogue Wizard, Master Magus, Spellsword"
Speaker of Names,9,100,270,90,"Ancient Languages, Aura Reading, Demonology, Folklore, Interrogation, Meditation, Occultism, Ritual, Sing, Spirit Binding, Theology","Alderman, Augur, Necromancer, Philosopher, Summoner"
Spellsword,6,140,380,80,"Alchemy, Apothecary, Armoury, Bloodletting, Demonology, Enchanting, Field Dressing, Knives, Occultism, Read, Sorcery, Summoning, Sword, Write","Court Wizard, Knight, Lieutenant, Man-at-Arms, Wizard of War, Sorcerer"
Spice Merchant,6,250,680,150,"Accounting, Appraisal, Bargaining, Brewing, Cooking, Crafting, Gambling, Geography, Heraldry, History, Persuasion, Politics, Research","Merchant Adventurer, Master Artisan, Diplomat, Courtier, Guild Master, Caravan Master"
Spirit Binder,7,140,380,95,"Ancient Languages, Aura Reading, Demonology, Folklore, Interrogation, Meditation, Occultism, Ritual, Sing, Spirit Binding, Theology","Augur, Prophet, Sage, Elementalist, Oracle"
Spy,4,120,320,45,"Acrobatics, Bribery, Cryptography, Diplomacy, Disguise, Etiquette, Falsehood, Inconspicuous, Interrogation, Knives, Observation, Poisons, Seduction, Sleight of Hand, Tracking","Courtier, Herald, Insurrectionist, Mercenary, Ranger, Sapper, Sergeant, Spy Master, Veteran, Assassin"
Spy Master,6,200,540,120,"Bribery, Cryptography, Diplomacy, Disguise, Etiquette, Falsehood, Inconspicuous, Interrogation, Knives, Observation, Poisons, Politics, Read, Seduction, Sleight of Hand, Strategy, Tracking, Write","Banker, Burgomaster, Judge, Ranger, Revolutionary, Assassin"
Squire,5,75,200,35,"Bow, Boxing, Etiquette, Falconry, Field Dressing, Firebuilding, Heraldry, Hunting, Knives, Lance, Politics, Read, Riding, Shield, Spear, Strategy, Sword, Tactics, Wrestling, Write","Knight, Herald, Journeyman, Man-at-Arms, Mercenary, Midshipman, Sergeant, Equestrian"
Steward,6,80,210,45,"Accounting, Bureaucracy, Estate Management, Fortifications, Heraldry, History, Law, Management, Read, Write","Ambassador, Alderman, Burgomaster, Lord"
Summoner,7,155,420,105,"Ancient Languages, Demonology, Heretical Doctrine, Intimidation, Philosophy, Politics, Read, Research, Summoning, Strategy","Court Wizard, Hedge Wizard, Rogue Wizard, Master Magus, Spellsword"
Supplicant,2,15,40,0,"Apothecary, Aura Reading, Begging, Bloodletting, Faith, Foraging, Firebuilding, Hauling, Herbalism, Meditation, Mending, Occultism, Ritual, Serving, Symbology","Covenentor, Cultist, Monk, Nun, Wizard's Apprentice"
Surgeon,6,250,680,150,"Anatomy, Bargaining, Bloodletting, Field Dressing, Jargon, Knives, Logic, Observation, Read, Sewing, Surgery, Ugly Truth, Write","Bloodletter, Doctor, Hospital Warden, Master Physician, Scientist"
Surveyor,6,65,170,35,"Administration, Appraisal, Cartography, Law, Observation, Orienteering, Surveying","Cartographer, Forester, Groundskeeper, Master Builder, Tax Collector"
Swineherd,6,35,90,20,"Animal Handling, Bargaining, Bartering, Butchery, Farming, Folklore, Foraging, Hauling, Herding, Knives, Leadership","Butcher, Curer, Meatmonger, Rancher"
Swordsman,3,55,150,15,"Armoury, Campaigning, Field Dressing, Foraging, Formation Fighting, Fortifications, Grappling, Hauling, Knives, Marching, Shield, Sword, Tactics, Wrestling","Mercenary, Pikeman, Sergeant, Ranger, Veteran, Spellsword"
Tailor,5,35,90,15,"Accounting, Appraisal, Bargaining, Bartering, Dyeing, Knives, Knots, Leatherworking, Mending, Sewing, Ugly Truth","Leatherworker, Haberdasher, Master Craftsman, Tradesman, Weaver"
Tax Collector,5,70,190,35,"Accounting, Administration, Appraisal, Bribery, Bureaucracy, Extortion, Geography, Intimidation, Logistics, Politics, Read, Write","Bureaucrat, clerk, Master Merchant, Bailiff"
Textile Merchant,6,250,680,150,"Accounting, Appraisal, Bargaining, Bartering, Commerce, Conspicuous, Diplomacy, Dyeing, Embroidery, Foreign Languages, Knots, Mathematics, Mending, Persuasion, Sewing, Symbology, Weaving","Merchant Adventurer, Master Artisan, Diplomat, Courtier, Guild Master, Caravan Master"
Thaumaturge,6,80,210,45,"Ancient Languages, Astrology, Aura Reading, Church Law, Doctrine, Faith, Meditation, Preaching, Ritual, Runic Charms, Spirit Binding, Symbology, Theology","Alchemist, Emperor, Hierophant, Pope, Prophet, Speaker of Names"
Theologian,7,45,120,30,"Church Law, Demonology, Doctrine, Faith, Logic, Meditation, Read, Research, Ritual, Symbology, Theology, Write","Chaplain, Exorcist, Priest"
Thief,3,55,150,15,"Appraisal, Bartering, Brawling, Climbing, Falsehood, Gambling, Inconspicuous, Knives, Pickpocket, Scavenging, Sleight of Hand","Fence, Highwayman, Jester, Smuggler, Assassin"
Thug,4,40,100,15,"Brawling, Conspicuous, Cudgel, Drinking, Extortion, Falsehood, Gambling, Hauling, Intimidation, Knives, Scavenging","Fence, Highwayman, Smuggler, Bailiff"
Tradesman,6,100,270,60,"Accounting, Appraisal, Bargaining, Conspicuous, Falsehood, Bartering, Logistics, Persuasion, Prospecting, Read, Smuggling, Write","Banker, Bureaucrat, Burgomaster, Jeweler, Master Merchant, Smuggler"
Trapper,5,35,90,15,"Butchery, Camouflage, Digging, Fishing, Foraging, Hauling, Hunting, Knives, Knots, Survival, Tracking, Trapping","Forester, Groundskeeper, Haberdasher, Housewright, Leatherworker, Meat Curer"
Tribesman,6,10,20,5,"Animal Handling, Botany, Camouflage, Climbing, Farming, Firebuilding, Fishing, Folklore, Herding, Hunting, Knots, Meteorology, Orienteering, Spears, Survival, Swimming, Tracking, Trapping, Riding","Nomad, Hunter, Chieftain, Fisher, Enlistedman, Trapper, Nomadic Tradesman, Farmer, Indentured Soldier, Shepherd, Swineherd, Horse Archer"
Tribune,1,400,1090,40,"Administration, Ancient Languages, Campaigning, Command, Doctrine, Etiquette, History, Leadership, Logic, Logistics, Mathematics, Oratory, Persuasion, Politics, Riding, Strategy, Sword, Tactics, Theology, Write","Governor, Senator, Consul, Diplomat, Dictator, Censor, Legislator"
Troubadour,6,80,210,45,"Aura Reading, Bargaining, Brawling, Composition, Dance, Etiquette, Falsehood, History, Musical Instrument, Persuasion, Poetry, Politics, Riding, Sing, Sword","Composer, Chronicler, Jester, Spy, Courtier, Musician, Bard, Mystic, Spellsword"
Veteran,7,60,160,40,"Armoury, Campaigning, Crossbow, Digging, Field Dressing, Foraging, Formation Fighting, Fortifications, Knives, Mace, Polearm, Riding, Siege, Sword, Tactics","Crusader, Man-at-Arms, Mercenary, Sergeant, Squire, Spellsword, Cavalryman, Assassin"
Vintner,9,60,160,50,"Appraisal, Bribery, Cooking, Drinking, Etiquette, Falsehood, Herbalism, Persuasion, Preservation, Ugly Truth, Tasting","Ale Taster, Brewer, Distiller, Grocer, Master Cook, Tradesman, Assassin"
Viscount,9,312,850,280,"Bow, Command, Dance, Estate Management, Etiquette, Falconry, Heraldry, Hunting, Knives, Lance, Law, Logistics, Poisons, Politics, Read, Riding, Shield, Siege, Strategy, Sword, Write","Archpriest, Commadore, Count, Major"
